,active,tot_price_pl,tot_sl_pl,invested,triggered,cur_price_pl,enter_price,stop_loss,dxv,cur_sl_pl
3016,True,,,,False,,7308.88492807,7302.986114320174,18.272212320175,
3017,True,,,,False,,7308.88492807,7301.696235360175,18.272212320175,
3018,True,,,,True,,7308.88492807,7301.696235360175,18.272212320175,
3019,False,,,,False,,,,,
3020,False,,,,False,,,,,
3021,False,,,,False,,,,,
3022,False,,,,False,,,,,
3023,False,,,,False,,,,,
3024,False,,,,False,,,,,
3025,True,,,,False,,7347.02034405,7365.387894910125,18.367550860125,
3026,True,,,,False,,7347.02034405,7365.387894910125,18.367550860125,
3027,True,,,,False,,7347.02034405,7365.387894910125,18.367550860125,
3028,True,,,,False,,7347.02034405,7365.387894910125,18.367550860125,
3029,True,,,,True,,7347.02034405,7365.387894910125,18.367550860125,
3030,False,,,,False,,,,,
3031,False,,,,False,,,,,
3032,False,,,,False,,,,,
3033,False,,,,False,,,,,
3034,False,,,,False,,,,,
3035,True,,,,False,,7353.04269506,7371.425301797651,18.38260673765,
3036,True,,,,False,,7353.04269506,7342.4819377576505,18.38260673765,
3037,True,,,,False,,7353.04269506,7342.4819377576505,18.38260673765,
3038,True,,,,False,,7353.04269506,7337.00906273765,18.38260673765,
3039,True,,,,True,,7353.04269506,7337.00906273765,18.38260673765,
3040,False,,,,False,,,,,
3041,False,,,,False,,,,,
3042,False,,,,False,,,,,
3043,False,,,,False,,,,,
3044,False,,,,False,,,,,
3045,False,,,,False,,,,,
3046,False,,,,False,,,,,
3047,False,,,,False,,,,,
3048,False,,,,False,,,,,
3049,False,,,,False,,,,,
3050,True,,,,False,,7350.16016107,7368.535561472675,18.375400402675,
3051,True,,,,False,,7350.16016107,7368.535561472675,18.375400402675,
3052,True,,,,True,,7350.16016107,7368.535561472675,18.375400402675,
3053,True,,,,False,,7351.412681999999,7369.791213704999,18.378531704999997,
3054,True,,,,False,,7351.412681999999,7369.186809715,18.378531704999997,
3055,True,,,,False,,7351.412681999999,7369.186809715,18.378531704999997,
3056,True,,,,True,,7351.412681999999,7369.186809715,18.378531704999997,
3057,True,,,,False,,7366.9434,7385.3607585,18.417358500000002,
