,dxv,cur_sl_pl,stop_loss,tot_price_pl,triggered,invested,active,cur_price_pl,enter_price,tot_sl_pl
129,62.2,,6282.2,,False,,True,,6220.0,
130,62.2,,6282.2,,False,,True,,6220.0,
131,62.2,,6282.2,,True,,True,,6220.0,
132,,,,,False,,False,,,
133,,,,,False,,False,,,
134,,,,,False,,False,,,
135,62.660390394,,6328.699429794,,False,,True,,6266.0390394,
136,62.660390394,,6328.699429794,,False,,True,,6266.0390394,
137,62.660390394,,6328.699429794,,False,,True,,6266.0390394,
138,62.660390394,,6328.699429794,,False,,True,,6266.0390394,
139,62.660390394,,6328.699429794,,True,,True,,6266.0390394,
140,,,,,False,,False,,,
141,,,,,False,,False,,,
142,,,,,False,,False,,,
143,,,,,False,,False,,,
144,,,,,False,,False,,,
145,,,,,False,,False,,,
146,,,,,False,,False,,,
147,,,,,False,,False,,,
148,62.903130000000004,,6353.21613,,False,,True,,6290.313,
149,62.903130000000004,,6285.63843,,False,,True,,6290.313,
150,62.903130000000004,,6285.63843,,False,,True,,6290.313,
151,62.903130000000004,,6285.63843,,False,,True,,6290.313,
152,62.903130000000004,,6285.63843,,False,,True,,6290.313,
153,62.903130000000004,,6083.90312997,,False,,True,,6290.313,
154,62.903130000000004,,6041.661176399999,,False,,True,,6290.313,
155,62.903130000000004,,6032.75673542,,False,,True,,6290.313,
156,62.903130000000004,,6032.75673542,,False,,True,,6290.313,
157,62.903130000000004,,6032.75673542,,True,,True,,6290.313,
158,,,,,False,,False,,,
159,,,,,False,,False,,,
160,60.303321303000004,,6090.635451603001,,False,,True,,6030.3321303,
161,60.303321303000004,,6084.107736903001,,False,,True,,6030.3321303,
162,60.303321303000004,,6084.107736903001,,False,,True,,6030.3321303,
163,60.303321303000004,,6084.107736903001,,True,,True,,6030.3321303,
164,,,,,False,,False,,,
165,,,,,False,,False,,,
166,,,,,False,,False,,,
167,,,,,False,,False,,,
168,,,,,False,,False,,,
169,,,,,False,,False,,,
170,,,,,False,,False,,,
171,63.3026769213,,6393.5703690513,,False,,True,,6330.26769213,
172,63.3026769213,,6393.5703690513,,True,,True,,6330.26769213,
173,,,,,False,,False,,,
174,63.682605826700005,,6431.9431884967,,False,,True,,6368.26058267,
175,63.682605826700005,,6431.9431884967,,False,,True,,6368.26058267,
176,63.682605826700005,,6329.3425219667,,False,,True,,6368.26058267,
177,63.682605826700005,,6329.3425219667,,False,,True,,6368.26058267,
178,63.682605826700005,,6329.3425219667,,False,,True,,6368.26058267,
179,63.682605826700005,,6329.3425219667,,False,,True,,6368.26058267,
180,63.682605826700005,,6329.3425219667,,True,,True,,6368.26058267,
181,,,,,False,,False,,,
182,,,,,False,,False,,,
183,63.385,,6401.885,,False,,True,,6338.5,
184,63.385,,6401.885,,False,,True,,6338.5,
185,63.385,,6401.885,,True,,True,,6338.5,
186,,,,,False,,False,,,
187,62.76,,6338.76,,False,,True,,6276.0,
188,62.76,,6338.76,,False,,True,,6276.0,
189,62.76,,6338.76,,False,,True,,6276.0,
