,unix_date,datetime,BTC
0,1574323200,2019-11-21 00:00:00,8093.36138999
1,1574323500,2019-11-21 00:05:00,8090.0
2,1574323800,2019-11-21 00:10:00,8087.000001
3,1574324100,2019-11-21 00:15:00,8088.23288857
4,1574324400,2019-11-21 00:20:00,8063.12898999
5,1574324700,2019-11-21 00:25:00,8051.26870891
6,1574325000,2019-11-21 00:30:00,8052.64008664
7,1574325300,2019-11-21 00:35:00,8045.56055141
8,1574325600,2019-11-21 00:40:00,8032.41375792
9,1574325900,2019-11-21 00:45:00,7935.41535823
10,1574326200,2019-11-21 00:50:00,7942.06051171
11,1574326500,2019-11-21 00:55:00,7943.34942523
12,1574326800,2019-11-21 01:00:00,7944.33000213
13,1574327100,2019-11-21 01:05:00,7941.14478231
14,1574327400,2019-11-21 01:10:00,7937.25250314
15,1574327700,2019-11-21 01:15:00,7933.35890058
16,1574328000,2019-11-21 01:20:00,7938.08335621
17,1574328300,2019-11-21 01:25:00,7945.75262541
18,1574328600,2019-11-21 01:30:00,7950.00000002
19,1574328900,2019-11-21 01:35:00,7938.54547193
20,1574329200,2019-11-21 01:40:00,7932.76467846
21,1574329500,2019-11-21 01:45:00,7955.33239576
22,1574329800,2019-11-21 01:50:00,7947.6
23,1574330100,2019-11-21 01:55:00,7940.28495694
24,1574330400,2019-11-21 02:00:00,7932.5199999
25,1574330700,2019-11-21 02:05:00,7911.34938743
26,1574331000,2019-11-21 02:10:00,7914.812788
27,1574331300,2019-11-21 02:15:00,7931.84527299
28,1574331600,2019-11-21 02:20:00,7924.63283496
29,1574331900,2019-11-21 02:25:00,7923.568678
30,1574332200,2019-11-21 02:30:00,7927.99232099
31,1574332500,2019-11-21 02:35:00,7923.16320603
32,1574332800,2019-11-21 02:40:00,7934.07235099
33,1574333100,2019-11-21 02:45:00,7931.528667
34,1574333400,2019-11-21 02:50:00,7925.00000001
35,1574333700,2019-11-21 02:55:00,7921.671512
36,1574334000,2019-11-21 03:00:00,7914.49546899
37,1574334300,2019-11-21 03:05:00,7899.59784222
38,1574334600,2019-11-21 03:10:00,7864.41749509
39,1574334900,2019-11-21 03:15:00,7874.18628748
40,1574335200,2019-11-21 03:20:00,7879.22934902
41,1574335500,2019-11-21 03:25:00,7891.69908106
42,1574335800,2019-11-21 03:30:00,7886.54333596
43,1574336100,2019-11-21 03:35:00,7890.57669199
44,1574336400,2019-11-21 03:40:00,7899.83353395
45,1574336700,2019-11-21 03:45:00,7889.370094
46,1574337000,2019-11-21 03:50:00,7874.45140001
47,1574337300,2019-11-21 03:55:00,7870.197072
48,1574337600,2019-11-21 04:00:00,7885.595942
49,1574337900,2019-11-21 04:05:00,7888.0872
50,1574338200,2019-11-21 04:10:00,7890.912877
51,1574338500,2019-11-21 04:15:00,7883.45163799
52,1574338800,2019-11-21 04:20:00,7883.10912299
53,1574339100,2019-11-21 04:25:00,7858.51697269
54,1574339400,2019-11-21 04:30:00,7865.38047541
55,1574339700,2019-11-21 04:35:00,7878.69983902
56,1574340000,2019-11-21 04:40:00,7874.012701
57,1574340300,2019-11-21 04:45:00,7874.81313301
58,1574340600,2019-11-21 04:50:00,7882.63446099
59,1574340900,2019-11-21 04:55:00,7902.06235699
60,1574341200,2019-11-21 05:00:00,7887.56632828
61,1574341500,2019-11-21 05:05:00,7895.32096
62,1574341800,2019-11-21 05:10:00,7899.6702
63,1574342100,2019-11-21 05:15:00,7890.83628397
64,1574342400,2019-11-21 05:20:00,7884.57743893
65,1574342700,2019-11-21 05:25:00,7890.66076803
66,1574343000,2019-11-21 05:30:00,7899.175268
67,1574343300,2019-11-21 05:35:00,7895.867048
68,1574343600,2019-11-21 05:40:00,7892.565699
69,1574343900,2019-11-21 05:45:00,7891.943602
70,1574344200,2019-11-21 05:50:00,7888.68183903
71,1574344500,2019-11-21 05:55:00,7884.00000001
72,1574344800,2019-11-21 06:00:00,7889.02975909
73,1574345100,2019-11-21 06:05:00,7891.99122086
74,1574345400,2019-11-21 06:10:00,7885.93047386
75,1574345700,2019-11-21 06:15:00,7888.74330999
76,1574346000,2019-11-21 06:20:00,7871.0099999
77,1574346300,2019-11-21 06:25:00,7870.82922492
78,1574346600,2019-11-21 06:30:00,7850.2722485
79,1574346900,2019-11-21 06:35:00,7847.30858407
80,1574347200,2019-11-21 06:40:00,7841.656837
81,1574347500,2019-11-21 06:45:00,7848.25878099
82,1574347800,2019-11-21 06:50:00,7832.7593048
83,1574348100,2019-11-21 06:55:00,7801.74927589
84,1574348400,2019-11-21 07:00:00,7494.77699899
85,1574348700,2019-11-21 07:05:00,7591.80320702
86,1574349000,2019-11-21 07:10:00,7586.342379
87,1574349300,2019-11-21 07:15:00,7580.34562276
88,1574349600,2019-11-21 07:20:00,7649.54264091
89,1574349900,2019-11-21 07:25:00,7669.13999947
90,1574350200,2019-11-21 07:30:00,7644.36991498
91,1574350500,2019-11-21 07:35:00,7634.55693
92,1574350800,2019-11-21 07:40:00,7625.0364159
93,1574351100,2019-11-21 07:45:00,7633.76387899
94,1574351400,2019-11-21 07:50:00,7600.85267203
95,1574351700,2019-11-21 07:55:00,7629.22003106
96,1574352000,2019-11-21 08:00:00,7643.34451799
97,1574352300,2019-11-21 08:05:00,7651.558466
98,1574352600,2019-11-21 08:10:00,7648.57811299
99,1574352900,2019-11-21 08:15:00,7644.38581711
100,1574353200,2019-11-21 08:20:00,7622.28312203
101,1574353500,2019-11-21 08:25:00,7609.52644987
102,1574353800,2019-11-21 08:30:00,7609.88313005
103,1574354100,2019-11-21 08:35:00,7610.21663461
104,1574354400,2019-11-21 08:40:00,7603.18285005
105,1574354700,2019-11-21 08:45:00,7606.61006709
106,1574355000,2019-11-21 08:50:00,7605.54933809
107,1574355300,2019-11-21 08:55:00,7614.64121999
108,1574355600,2019-11-21 09:00:00,7606.8149299
109,1574355900,2019-11-21 09:05:00,7593.790937
110,1574356200,2019-11-21 09:10:00,7595.113729
111,1574356500,2019-11-21 09:15:00,7597.17622499
112,1574356800,2019-11-21 09:20:00,7595.41434901
113,1574357100,2019-11-21 09:25:00,7595.0
114,1574357400,2019-11-21 09:30:00,7591.114904
115,1574357700,2019-11-21 09:35:00,7586.64
116,1574358000,2019-11-21 09:40:00,7575.87625902
117,1574358300,2019-11-21 09:45:00,7585.19346699
118,1574358600,2019-11-21 09:50:00,7576.8212881
119,1574358900,2019-11-21 09:55:00,7568.77063
120,1574359200,2019-11-21 10:00:00,7568.46987103
121,1574359500,2019-11-21 10:05:00,7587.114761
122,1574359800,2019-11-21 10:10:00,7585.20211698
123,1574360100,2019-11-21 10:15:00,7585.57491
124,1574360400,2019-11-21 10:20:00,7590.011088
125,1574360700,2019-11-21 10:25:00,7592.034467
126,1574361000,2019-11-21 10:30:00,7597.07457529
127,1574361300,2019-11-21 10:35:00,7595.70829674
128,1574361600,2019-11-21 10:40:00,7594.888554
129,1574361900,2019-11-21 10:45:00,7591.290128
130,1574362200,2019-11-21 10:50:00,7582.00000001
131,1574362500,2019-11-21 10:55:00,7583.17341102
132,1574362800,2019-11-21 11:00:00,7592.65547603
133,1574363100,2019-11-21 11:05:00,7591.80014502
134,1574363400,2019-11-21 11:10:00,7589.82274228
135,1574363700,2019-11-21 11:15:00,7602.16417599
136,1574364000,2019-11-21 11:20:00,7613.42548796
137,1574364300,2019-11-21 11:25:00,7609.74769102
138,1574364600,2019-11-21 11:30:00,7605.512322
139,1574364900,2019-11-21 11:35:00,7603.49155
140,1574365200,2019-11-21 11:40:00,7607.68000205
141,1574365500,2019-11-21 11:45:00,7620.516934
142,1574365800,2019-11-21 11:50:00,7616.4858625
143,1574366100,2019-11-21 11:55:00,7626.00010007
144,1574366400,2019-11-21 12:00:00,7626.83427396
145,1574366700,2019-11-21 12:05:00,7644.92375752
146,1574367000,2019-11-21 12:10:00,7641.15517403
147,1574367300,2019-11-21 12:15:00,7640.55161679
148,1574367600,2019-11-21 12:20:00,7627.811449
149,1574367900,2019-11-21 12:25:00,7636.709126
150,1574368200,2019-11-21 12:30:00,7630.0
151,1574368500,2019-11-21 12:35:00,7607.047839
152,1574368800,2019-11-21 12:40:00,7599.346834
153,1574369100,2019-11-21 12:45:00,7586.57849102
154,1574369400,2019-11-21 12:50:00,7588.29068725
155,1574369700,2019-11-21 12:55:00,7599.54387492
156,1574370000,2019-11-21 13:00:00,7617.70606666
157,1574370300,2019-11-21 13:05:00,7605.15783
158,1574370600,2019-11-21 13:10:00,7599.36969399
159,1574370900,2019-11-21 13:15:00,7599.4
160,1574371200,2019-11-21 13:20:00,7617.88609801
161,1574371500,2019-11-21 13:25:00,7609.06031002
162,1574371800,2019-11-21 13:30:00,7617.689954
163,1574372100,2019-11-21 13:35:00,7615.955593
164,1574372400,2019-11-21 13:40:00,7614.271529
165,1574372700,2019-11-21 13:45:00,7614.426095
166,1574373000,2019-11-21 13:50:00,7615.38748844
167,1574373300,2019-11-21 13:55:00,7596.8
168,1574373600,2019-11-21 14:00:00,7600.76993201
169,1574373900,2019-11-21 14:05:00,7604.25490755
170,1574374200,2019-11-21 14:10:00,7609.90434868
171,1574374500,2019-11-21 14:15:00,7619.07576546
172,1574374800,2019-11-21 14:20:00,7623.700073
173,1574375100,2019-11-21 14:25:00,7619.61688
174,1574375400,2019-11-21 14:30:00,7627.0
175,1574375700,2019-11-21 14:35:00,7629.74740368
176,1574376000,2019-11-21 14:40:00,7623.707332
177,1574376300,2019-11-21 14:45:00,7607.86767585
178,1574376600,2019-11-21 14:50:00,7616.57916201
179,1574376900,2019-11-21 14:55:00,7621.0
180,1574377200,2019-11-21 15:00:00,7641.08242685
181,1574377500,2019-11-21 15:05:00,7634.0
182,1574377800,2019-11-21 15:10:00,7641.8
183,1574378100,2019-11-21 15:15:00,7633.05345083
184,1574378400,2019-11-21 15:20:00,7610.73000009
185,1574378700,2019-11-21 15:25:00,7618.599999
186,1574379000,2019-11-21 15:30:00,7622.3193803
187,1574379300,2019-11-21 15:35:00,7615.54512307
188,1574379600,2019-11-21 15:40:00,7619.0
189,1574379900,2019-11-21 15:45:00,7621.08428
190,1574380200,2019-11-21 15:50:00,7626.76390765
191,1574380500,2019-11-21 15:55:00,7630.420047
192,1574380800,2019-11-21 16:00:00,7632.7200001
193,1574381100,2019-11-21 16:05:00,7626.6200001
194,1574381400,2019-11-21 16:10:00,7629.0
195,1574381700,2019-11-21 16:15:00,7635.39999999
196,1574382000,2019-11-21 16:20:00,7637.30046907
197,1574382300,2019-11-21 16:25:00,7647.838858
198,1574382600,2019-11-21 16:30:00,7653.97507949
199,1574382900,2019-11-21 16:35:00,7647.6
200,1574383200,2019-11-21 16:40:00,7672.2200011
201,1574383500,2019-11-21 16:45:00,7657.7816113
202,1574383800,2019-11-21 16:50:00,7670.99999999
203,1574384100,2019-11-21 16:55:00,7684.421852
204,1574384400,2019-11-21 17:00:00,7665.25212103
205,1574384700,2019-11-21 17:05:00,7684.03804
206,1574385000,2019-11-21 17:10:00,7677.86345198
207,1574385300,2019-11-21 17:15:00,7682.399717
208,1574385600,2019-11-21 17:20:00,7662.8852
209,1574385900,2019-11-21 17:25:00,7671.022602
210,1574386200,2019-11-21 17:30:00,7673.07064301
211,1574386500,2019-11-21 17:35:00,7659.64896428
212,1574386800,2019-11-21 17:40:00,7651.021393
213,1574387100,2019-11-21 17:45:00,7657.139112
214,1574387400,2019-11-21 17:50:00,7647.36309504
215,1574387700,2019-11-21 17:55:00,7645.00000011
216,1574388000,2019-11-21 18:00:00,7656.26894101
217,1574388300,2019-11-21 18:05:00,7655.5683855
218,1574388600,2019-11-21 18:10:00,7657.82808901
219,1574388900,2019-11-21 18:15:00,7667.207489
220,1574389200,2019-11-21 18:20:00,7661.22654157
221,1574389500,2019-11-21 18:25:00,7655.99247201
222,1574389800,2019-11-21 18:30:00,7661.278911
223,1574390100,2019-11-21 18:35:00,7655.0
224,1574390400,2019-11-21 18:40:00,7650.0
225,1574390700,2019-11-21 18:45:00,7641.69606
226,1574391000,2019-11-21 18:50:00,7632.32269899
227,1574391300,2019-11-21 18:55:00,7632.40240001
228,1574391600,2019-11-21 19:00:00,7634.938581
229,1574391900,2019-11-21 19:05:00,7639.565514
230,1574392200,2019-11-21 19:10:00,7636.903959
231,1574392500,2019-11-21 19:15:00,7632.186146
232,1574392800,2019-11-21 19:20:00,7619.77422702
233,1574393100,2019-11-21 19:25:00,7614.23999699
