,unix_date,datetime,BTC,ETH,XRP,LTC,ZEC,XMR,STR,DASH,ETC
0,1533106800,2018-08-01 00:00:00,7563.68410595,422.04555904,0.435,77.14623037,198.88718536,123.7951719,0.26900002,217.34396188,15.90000002
1,1533110400,2018-08-01 01:00:00,7600.00000001,423.9125623,0.452,77.985935,202.06750745,123.4,0.27509045,224.62962081,16.07706125
2,1533117600,2018-08-01 03:00:00,7560.38545831,423.75,0.44583699,77.65362794,201.98056367,122.7951646,0.27428657,221.55282001,15.97142965
3,1533124800,2018-08-01 05:00:00,7624.2788232,423.96484562,0.4499999,78.36374211,204.29195707,126.05837781,0.28108973,222.1,16.10097906
4,1533132000,2018-08-01 07:00:00,7609.23502398,421.81,0.45100869,77.55,202.40290537,125.00000001,0.28009275,220.90255001,16.07870908
5,1533139200,2018-08-01 09:00:00,7541.51710335,418.37961985,0.44536785,77.09831274,199.86934691,123.34774365,0.272,219.11065528,15.97321801
6,1533146400,2018-08-01 11:00:00,7565.0,419.45066955,0.44256869,77.72914599,200.80999951,123.58306899,0.27194612,218.0,16.02667825
7,1533153600,2018-08-01 13:00:00,7476.39208283,409.0,0.43635586,76.2267199,193.75,122.4174411,0.267,214.7036581,15.04894322
8,1533160800,2018-08-01 15:00:00,7616.01739137,419.70046381,0.44613684,77.5,196.562399,128.57,0.2765755,218.94862998,15.48623994
9,1533168000,2018-08-01 17:00:00,7672.01593113,423.53306197,0.44786854,78.0,199.85729847,128.77643608,0.27769582,219.9698993,15.55
10,1533175200,2018-08-01 19:00:00,7650.0,421.30188805,0.44210851,77.69294799,197.6409988,129.05208039,0.27372842,217.75008163,15.46402803
11,1533182400,2018-08-01 21:00:00,7650.0,418.92166745,0.4435,77.62347497,199.35201846,129.5,0.27870274,217.75000101,15.52851802
12,1533189600,2018-08-01 23:00:00,7670.86573174,421.3561908,0.44256237,77.72057601,197.9841486,127.84922467,0.27798931,215.19939996,15.47000025
13,1533196800,2018-08-02 01:00:00,7614.64799267,415.51755558,0.4400454,77.16,194.71413741,126.0244,0.27291099,212.64357292,15.13211728
14,1533204000,2018-08-02 03:00:00,7562.77906338,414.69204261,0.43494419,76.30000001,191.842982,123.951346,0.27068832,212.58763999,15.2
15,1533211200,2018-08-02 05:00:00,7501.00000126,410.00231769,0.43221652,75.90101801,189.50000001,123.64,0.26300137,208.58627999,14.9776308
16,1533218400,2018-08-02 07:00:00,7522.54045203,412.09898995,0.4329064,76.21005188,189.11235935,124.88663317,0.26399999,208.37472999,14.76783905
17,1533225600,2018-08-02 09:00:00,7508.81215165,409.15,0.43333931,76.06051998,188.00285163,123.00000001,0.26093051,207.94813796,14.78645475
18,1533232800,2018-08-02 11:00:00,7538.21246473,409.82590108,0.43499124,76.16421002,186.98569,122.76001355,0.26347597,207.95917702,14.9
19,1533240000,2018-08-02 13:00:00,7533.0,409.63128218,0.42983795,76.03912688,185.0,120.6725779,0.26160745,207.9201213,14.95176471
20,1533247200,2018-08-02 15:00:00,7536.86137497,410.68941087,0.43001535,76.15,185.41803193,121.80000004,0.25949991,210.7,14.95070877
21,1533254400,2018-08-02 17:00:00,7339.60347979,401.37356207,0.4320302,75.23728453,183.5,116.3,0.24887604,205.4033482,14.5063947
22,1533261600,2018-08-02 19:00:00,7329.71359734,401.50000002,0.43051166,75.19772063,183.5,116.53003904,0.25049039,203.76201881,14.45729389
23,1533268800,2018-08-02 21:00:00,7342.39885157,403.82569547,0.44049447,75.76325916,181.0,116.79,0.249885,204.91677999,14.40497652
24,1533276000,2018-08-02 23:00:00,7401.0,408.715903,0.44111111,75.34603576,181.99999999,117.48471634,0.24705001,205.6001,14.56064206
25,1533283200,2018-08-03 01:00:00,7352.89806312,408.28585013,0.43923226,75.30218654,179.0,117.77534733,0.24806,208.63249999,14.48613633
